trace_id,pos_id,pair_id,mint,symbol,live_or_paper,started_at,finished_at,duration_sec,n_events,first_event,last_event
tr_pending_1783563333,pending,tg_6rrk39a39GwKajDj_1783563333,6rrk39a39GwKajDja37KBbX8ps1TEVq437pE6HzwMw1B,6rrk39a3,unknown,2026-07-09T02:15:33.420258+00:00,2026-07-09T02:15:33.450062+00:00,0.03,6,trace_started,trace_finished
tr_pending_1783563333,pending,tg_H4Nic9z7YURWa71r_1783563333,H4Nic9z7YURWa71rzYVJrqw4h8oUVJc5bfwDhbWysYZs,H4Nic9z7,unknown,2026-07-09T02:15:33.471184+00:00,2026-07-09T02:15:33.487170+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563378,pending,tg_5TnJDp9ZfCXXmD7q_1783563378,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:16:18.356069+00:00,2026-07-09T02:16:18.426234+00:00,0.07,6,trace_started,trace_finished
tr_pending_1783563378,pending,tg_8XPnN6Z7x9GeS9kQ_1783563378,8XPnN6Z7x9GeS9kQb4hEYr6RQsFF1Ng4YFZW9Sm24yrU,8XPnN6Z7,unknown,2026-07-09T02:16:18.488811+00:00,2026-07-09T02:16:18.513365+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563378,pending,tg_6rrk39a39GwKajDj_1783563378,6rrk39a39GwKajDja37KBbX8ps1TEVq437pE6HzwMw1B,6rrk39a3,unknown,2026-07-09T02:16:18.615674+00:00,2026-07-09T02:16:18.652927+00:00,0.04,7,alert_received,trace_finished
tr_pending_1783563378,pending,tg_H4Nic9z7YURWa71r_1783563378,H4Nic9z7YURWa71rzYVJrqw4h8oUVJc5bfwDhbWysYZs,H4Nic9z7,unknown,2026-07-09T02:16:18.694397+00:00,2026-07-09T02:16:18.763610+00:00,0.07,6,trace_started,trace_finished
tr_pending_1783563423,pending,tg_5TnJDp9ZfCXXmD7q_1783563423,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:17:03.570414+00:00,2026-07-09T02:17:03.608080+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563423,pending,tg_A38rRU5T9RDMcJFk_1783563423,A38rRU5T9RDMcJFkNdiySL5v5ThfreW7S4rfhBKJ9XYn,A38rRU5T,unknown,2026-07-09T02:17:03.670528+00:00,2026-07-09T02:17:03.748978+00:00,0.08,6,trace_started,trace_finished
tr_pending_1783563423,pending,tg_8XPnN6Z7x9GeS9kQ_1783563423,8XPnN6Z7x9GeS9kQb4hEYr6RQsFF1Ng4YFZW9Sm24yrU,8XPnN6Z7,unknown,2026-07-09T02:17:03.766874+00:00,2026-07-09T02:17:03.805819+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563423,pending,tg_4Wv22nP8FgAG5HnK_1783563423,4Wv22nP8FgAG5HnK5cSAfX2LZXfT7Bm7aXJysWZSUDAy,4Wv22nP8,unknown,2026-07-09T02:17:03.824138+00:00,2026-07-09T02:17:03.832549+00:00,0.01,6,trace_started,trace_finished
